Date,Open,High,Low,Close,Volume
11-Dec-13,159.84,159.90,158.23,158.31,7906687
10-Dec-13,159.80,160.19,159.64,159.72,4047640
9-Dec-13,160.25,160.53,160.11,160.23,3975579
6-Dec-13,159.53,160.18,159.13,160.16,6346575
5-Dec-13,158.45,158.89,158.01,158.12,5829475
4-Dec-13,158.46,159.52,157.83,158.76,7140816
3-Dec-13,159.23,159.62,158.46,158.99,8662619
2-Dec-13,160.76,160.84,159.71,159.92,5658529
29-Nov-13,161.11,161.58,160.58,160.72,2887856
27-Nov-13,160.79,160.94,160.41,160.85,6272842
26-Nov-13,160.54,160.97,160.46,160.50,5236551
25-Nov-13,160.81,160.85,160.30,160.61,5118980
22-Nov-13,159.83,160.43,159.48,160.40,4467261
21-Nov-13,159.29,159.88,159.17,159.86,4582399
20-Nov-13,159.55,159.88,158.35,158.77,8401131
19-Nov-13,159.58,159.93,159.09,159.33,5017290
18-Nov-13,159.71,159.95,159.07,159.44,5239871
15-Nov-13,158.57,159.30,158.48,159.30,6530114
14-Nov-13,158.10,158.81,157.95,158.73,6935653
13-Nov-13,156.52,158.12,156.50,158.06,5062909
12-Nov-13,157.42,157.72,156.87,157.37,4097359
11-Nov-13,157.33,157.73,157.15,157.61,3798072
8-Nov-13,155.66,157.49,155.58,157.49,7599007
7-Nov-13,157.72,157.80,155.68,155.85,10211049
6-Nov-13,156.49,157.29,156.37,157.22,7548412
5-Nov-13,155.28,156.18,154.87,155.89,5442826
4-Nov-13,156.26,156.36,155.53,156.06,4043078
1-Nov-13,155.58,156.15,155.08,155.86,5910058
31-Oct-13,155.61,156.18,155.10,155.29,8159868
30-Oct-13,156.73,156.87,155.37,155.87,6100193
29-Oct-13,155.71,156.50,155.62,156.50,5783908
28-Oct-13,155.20,155.65,154.99,155.37,4971630
25-Oct-13,154.91,155.45,154.79,155.45,4566742
24-Oct-13,154.19,154.95,154.10,154.80,5186374
23-Oct-13,153.81,154.03,153.32,153.82,5430973
22-Oct-13,154.03,154.86,153.82,154.25,7503562
21-Oct-13,153.69,153.76,153.27,153.53,3590239
18-Oct-13,153.66,153.80,152.89,153.60,7715293
17-Oct-13,152.11,153.59,152.05,153.48,9925252
16-Oct-13,152.37,153.56,152.24,153.52,8714823
15-Oct-13,152.60,152.80,151.34,151.34,8144669
14-Oct-13,151.19,152.88,151.08,152.80,6470077
11-Oct-13,150.92,152.22,150.76,152.17,8186015
10-Oct-13,149.14,151.01,149.09,150.96,12792218
9-Oct-13,147.69,148.32,146.96,147.78,11082481
8-Oct-13,149.00,149.14,147.50,147.53,10388023
7-Oct-13,149.12,149.85,148.91,149.00,6083485
4-Oct-13,149.68,150.56,149.43,150.43,6867840
3-Oct-13,150.66,150.76,149.16,149.67,10950517
2-Oct-13,150.90,151.10,150.15,150.98,8904193
1-Oct-13,151.00,151.77,150.77,151.62,8616254
30-Sep-13,150.79,151.54,150.45,151.00,9427894
27-Sep-13,152.30,152.44,151.76,152.21,6844930
26-Sep-13,152.70,153.54,152.47,152.95,5028414
25-Sep-13,153.26,153.39,152.19,152.42,7189585
24-Sep-13,153.74,154.02,152.95,153.06,5774861
23-Sep-13,154.11,154.32,153.32,153.71,8663343
20-Sep-13,156.16,156.19,154.30,154.30,9380965
19-Sep-13,156.87,156.92,156.22,156.32,7628493
18-Sep-13,155.16,157.06,154.65,156.69,9665199
17-Sep-13,155.02,155.51,154.98,155.29,4519118
16-Sep-13,155.33,155.49,154.66,154.94,6716534
13-Sep-13,153.34,153.80,153.21,153.69,4829525
12-Sep-13,153.33,153.41,152.78,153.03,5556597
11-Sep-13,151.82,153.18,151.77,153.15,6996435
10-Sep-13,151.47,151.82,151.10,151.79,7917010
9-Sep-13,149.50,150.78,149.48,150.47,4407439
6-Sep-13,149.70,149.97,147.77,149.09,9001910
5-Sep-13,149.18,149.71,149.02,149.12,6021768
4-Sep-13,148.02,149.41,147.82,149.18,4578200
3-Sep-13,148.88,149.20,147.61,148.11,5431151
